Einstellung;Wert
Exportzeitpunkt;2025-12-04T09:44:36.561Z
start_savings;4000
start_etf;100
monthly_savings;100
monthly_etf;150
savings_rate_pa;3
etf_rate_pa;6
savings_target;5000
annual_raise_percent;3
savings_years;36
withdrawal_years;30
monthly_payout_net;
monthly_payout_percent;5
special_payout_net_savings;15000
special_interval_years_savings;10
special_payout_net_withdrawal;15000
special_interval_years_withdrawal;10
inflation_rate_pa;2
rent_mode;percent

Jahr;Monat;Phase;Tagesgeld;ETF;Gesamt;Gesamt (real);Rendite;Entnahme;Steuern
1;1;Anspar;4109.87;250.49;4360.35;4353.16;10.35;0.00;0.00
1;2;Anspar;4220.00;401.71;4621.71;4606.48;11.36;0.00;0.00
1;3;Anspar;4330.41;553.66;4884.07;4859.95;12.36;0.00;0.00
1;4;Anspar;4441.09;706.36;5147.45;5113.58;13.37;0.00;0.00
1;5;Anspar;4552.04;859.79;5411.84;5367.37;14.39;0.00;0.00
1;6;Anspar;4663.27;1013.98;5677.25;5621.31;15.41;0.00;0.00
1;7;Anspar;4774.77;1168.92;5943.68;5875.42;16.44;0.00;0.00
1;8;Anspar;4886.54;1324.60;6211.15;6129.69;17.47;0.00;0.00
1;9;Anspar;4998.60;1481.05;6479.65;6384.12;18.50;0.00;0.00
1;10;Anspar;5000.00;1749.19;6749.19;6638.72;19.54;0.00;0.00
1;11;Anspar;5000.00;2020.03;7020.03;6893.75;20.85;0.00;0.00
1;12;Anspar;5000.00;2292.20;7292.20;7149.21;22.16;0.00;0.00
2;13;Anspar;5000.00;2573.18;7573.18;7412.45;23.49;0.00;0.00
2;14;Anspar;5000.00;2855.54;7855.54;7676.13;24.86;0.00;0.00
2;15;Anspar;5000.00;3139.27;8139.27;7940.27;26.23;0.00;0.00
2;16;Anspar;5000.00;3424.38;8424.38;8204.86;27.61;0.00;0.00
2;17;Anspar;5000.00;3710.88;8710.88;8469.91;29.00;0.00;0.00
2;18;Anspar;5000.00;3998.78;8998.78;8735.41;30.39;0.00;0.00
2;19;Anspar;5000.00;4288.07;9288.07;9001.37;31.80;0.00;0.00
2;20;Anspar;5000.00;4578.78;9578.78;9267.80;33.20;0.00;0.00
2;21;Anspar;5000.00;4870.90;9870.90;9534.68;34.62;0.00;0.00
2;22;Anspar;5000.00;5164.44;10164.44;9802.04;36.04;0.00;0.00
2;23;Anspar;5000.00;5459.41;10459.41;10069.86;37.47;0.00;0.00
2;24;Anspar;5000.00;5755.81;10755.81;10338.15;38.91;0.00;0.00
3;25;Anspar;5000.00;6061.38;11061.38;10614.33;40.35;0.00;0.00
3;26;Anspar;5000.00;6368.44;11368.44;10890.99;41.84;0.00;0.00
3;27;Anspar;5000.00;6677.00;11677.00;11168.14;43.33;0.00;0.00
3;28;Anspar;5000.00;6987.06;11987.06;11445.78;44.83;0.00;0.00
3;29;Anspar;5000.00;7298.62;12298.62;11723.92;46.34;0.00;0.00
3;30;Anspar;5000.00;7611.71;12611.71;12002.55;47.86;0.00;0.00
3;31;Anspar;5000.00;7926.31;12926.31;12281.67;49.38;0.00;0.00
3;32;Anspar;5000.00;8242.45;13242.45;12561.30;50.91;0.00;0.00
3;33;Anspar;5000.00;8560.13;13560.13;12841.43;52.45;0.00;0.00
3;34;Anspar;5000.00;8879.35;13879.35;13122.06;54.00;0.00;0.00
3;35;Anspar;5000.00;9200.13;14200.13;13403.20;55.55;0.00;0.00
3;36;Anspar;5000.00;9522.47;14522.47;13684.84;57.11;0.00;0.00
4;37;Anspar;5000.00;9854.33;14854.33;13974.49;58.68;0.00;0.00
4;38;Anspar;5000.00;10187.81;15187.81;14264.65;60.30;0.00;0.00
4;39;Anspar;5000.00;10522.91;15522.91;14555.35;61.92;0.00;0.00
4;40;Anspar;5000.00;10859.65;15859.65;14846.57;63.55;0.00;0.00
4;41;Anspar;5000.00;11198.02;16198.02;15138.33;65.19;0.00;0.00
4;42;Anspar;5000.00;11538.04;16538.04;15430.62;66.84;0.00;0.00
4;43;Anspar;5000.00;11879.71;16879.71;15723.45;68.49;0.00;0.00
4;44;Anspar;5000.00;12223.05;17223.05;16016.82;70.16;0.00;0.00
4;45;Anspar;5000.00;12568.06;17568.06;16310.72;71.83;0.00;0.00
4;46;Anspar;5000.00;12914.75;17914.75;16605.17;73.51;0.00;0.00
4;47;Anspar;5000.00;13263.13;18263.13;16900.17;75.19;0.00;0.00
4;48;Anspar;5000.00;13613.20;18613.20;17195.72;76.89;0.00;0.00
5;49;Anspar;5000.00;13973.17;18973.17;17499.38;78.59;0.00;0.00
5;50;Anspar;5000.00;14334.89;19334.89;17803.60;80.35;0.00;0.00
5;51;Anspar;5000.00;14698.38;19698.38;18108.39;82.11;0.00;0.00
5;52;Anspar;5000.00;15063.63;20063.63;18413.75;83.88;0.00;0.00
5;53;Anspar;5000.00;15430.66;20430.66;18719.68;85.65;0.00;0.00
5;54;Anspar;5000.00;15799.48;20799.48;19026.19;87.44;0.00;0.00
5;55;Anspar;5000.00;16170.10;21170.10;19333.27;89.24;0.00;0.00
5;56;Anspar;5000.00;16542.51;21542.51;19640.94;91.04;0.00;0.00
5;57;Anspar;5000.00;16916.74;21916.74;19949.19;92.85;0.00;0.00
5;58;Anspar;5000.00;17292.79;22292.79;20258.02;94.67;0.00;0.00
5;59;Anspar;5000.00;17670.68;22670.68;20567.44;96.50;0.00;0.00
5;60;Anspar;5000.00;18050.40;23050.40;20877.46;98.34;0.00;0.00
6;61;Anspar;5000.00;18440.41;23440.41;21195.69;100.19;0.00;0.00
6;62;Anspar;5000.00;18832.32;23832.32;21514.54;102.09;0.00;0.00
6;63;Anspar;5000.00;19226.14;24226.14;21834.00;104.00;0.00;0.00
6;64;Anspar;5000.00;19621.87;24621.87;22154.07;105.92;0.00;0.00
6;65;Anspar;5000.00;20019.53;25019.53;22474.75;107.84;0.00;0.00
6;66;Anspar;5000.00;20419.13;25419.13;22796.05;109.78;0.00;0.00
6;67;Anspar;5000.00;20820.67;25820.67;23117.98;111.72;0.00;0.00
6;68;Anspar;5000.00;21224.16;26224.16;23440.52;113.68;0.00;0.00
6;69;Anspar;5000.00;21629.62;26629.62;23763.70;115.64;0.00;0.00
6;70;Anspar;5000.00;22037.06;27037.06;24087.50;117.61;0.00;0.00
6;71;Anspar;5000.00;22446.47;27446.47;24411.93;119.60;0.00;0.00
