Einstellung;Wert
Exportzeitpunkt;2025-12-04T14:08:06.364Z
Simulationstyp;Monte-Carlo
Anzahl Simulationen;1000
Volatilität p.a.;15%

=== EINGABEPARAMETER ===;
start_savings;4000
start_etf;100
monthly_savings;100
monthly_etf;150
savings_rate_pa;3
etf_rate_pa;7
etf_ter_pa;0.19
savings_target;5000
annual_raise_percent;3
savings_years;36
withdrawal_years;30
monthly_payout_net;
monthly_payout_percent;4
withdrawal_min;0
withdrawal_max;0
inflation_adjust_withdrawal;true
special_payout_net_savings;15000
special_interval_years_savings;10
inflation_adjust_special_savings;true
special_payout_net_withdrawal;15000
special_interval_years_withdrawal;10
inflation_adjust_special_withdrawal;true
inflation_rate_pa;2
sparerpauschbetrag;1000
kirchensteuer;keine
basiszins;2.53
rent_mode;percent
capital_preservation_enabled;true
capital_preservation_threshold;80
capital_preservation_reduction;25
capital_preservation_recovery;10

=== ZUSAMMENFASSUNG ===;
Erfolgswahrscheinlichkeit;75.4%
Kapitalerhalt-Rate;51.1%
Pleite-Risiko;25.6%

Endvermögen (Median);531587.41
Endvermögen (10%-Perzentil);0.00
Endvermögen (90%-Perzentil);4161947.63
Endvermögen (5%-Perzentil, Worst);0.00
Endvermögen (95%-Perzentil, Best);7558646.39
Endvermögen (Durchschnitt);1722794.37

Endvermögen real (Median);143867.72
Endvermögen real (10%-90%);0.00 - 1126380.89
Vermögen bei Rentenbeginn (Median);448441.08

=== SEQUENCE-OF-RETURNS RISK ===;
SoRR-Spreizung;696.1%
Früher Crash-Effekt;-84.7%
Früher Boom-Effekt;+154.7%
Korrelation frühe Rendite <-> Endvermögen;38.9%
Endvermögen (schlechte Sequenz);243385.58
Endvermögen (gute Sequenz);4048410.28
Kritisches Fenster;Jahr 1-10

=== PERZENTILE PRO MONAT ===;;;;;;;;
Monat;Jahr;P5;P10;P25;P50 (Median);P75;P90;P95
1;1;4353.03;4354.73;4357.39;4360.38;4363.35;4365.67;4367.13
2;1;4602.88;4607.86;4614.61;4622.25;4629.15;4636.21;4640.43
3;1;4851.69;4858.17;4871.31;4884.81;4898.88;4912.16;4918.68
4;1;5097.24;5107.74;5126.52;5147.57;5168.81;5187.45;5203.57
5;1;5341.20;5357.78;5384.52;5410.91;5442.55;5467.97;5482.14
6;1;5589.32;5606.92;5639.48;5679.08;5716.20;5756.28;5780.40
7;1;5827.39;5852.46;5893.82;5943.74;5993.90;6036.19;6066.39
8;1;6064.59;6098.25;6154.03;6211.20;6273.01;6325.51;6351.83
9;1;6299.98;6346.33;6405.79;6480.27;6556.23;6619.85;6651.85
10;1;6544.17;6597.36;6669.12;6749.73;6836.95;6920.56;6968.32
11;1;6801.14;6836.52;6927.54;7029.58;7121.44;7226.35;7284.12
12;1;7040.11;7087.27;7184.91;7300.62;7420.35;7532.44;7597.20
13;2;7280.81;7340.77;7458.39;7585.46;7725.73;7852.77;7941.79
14;2;7527.20;7602.12;7720.85;7874.18;8030.26;8167.48;8269.13
15;2;7750.95;7856.50;8000.66;8156.82;8331.37;8485.92;8612.58
16;2;8032.20;8107.03;8259.15;8446.72;8642.39;8834.56;8949.29
17;2;8244.00;8360.26;8525.91;8740.22;8978.49;9160.40;9305.04
18;2;8458.91;8578.27;8789.05;9043.54;9291.02;9546.77;9693.76
19;2;8683.58;8796.37;9088.17;9318.78;9631.75;9892.64;10043.57
20;2;8918.12;9075.97;9365.10;9617.13;9916.79;10242.82;10442.44
21;2;9147.62;9314.03;9601.32;9948.74;10231.77;10535.41;10771.08
22;2;9413.62;9560.35;9870.33;10231.97;10575.57;10922.47;11111.96
23;2;9597.42;9806.52;10138.96;10523.98;10903.74;11256.26;11510.60
24;2;9822.19;10044.36;10411.53;10824.42;11241.85;11647.01;11914.05
25;3;10071.95;10300.01;10691.76;11095.64;11601.29;12088.92;12371.59
26;3;10335.21;10559.28;10953.51;11408.44;11963.49;12410.43;12747.72
27;3;10592.96;10806.77;11263.67;11706.92;12288.29;12837.78;13149.97
28;3;10809.42;11039.58;11518.67;12032.73;12634.19;13291.85;13633.41
29;3;11025.27;11242.72;11807.70;12379.36;12963.12;13680.18;14076.63
30;3;11274.03;11558.62;12060.64;12670.71;13376.74;14076.15;14469.29
31;3;11478.82;11792.92;12359.02;12998.59;13728.31;14469.61;14964.39
32;3;11736.46;12045.23;12602.55;13336.12;14050.47;14957.25;15414.07
33;3;11955.40;12271.40;12908.99;13624.31;14475.30;15319.91;15764.13
